liga,hora,home,away,link_confronto
Finlândia - Veikkausliiga,12:00,Haka,Oulu,https://redscores.com/pt-br/match/oulu-haka/LqAxkdb
Finlândia - Veikkausliiga,13:00,KTP,Jaro,https://redscores.com/pt-br/match/ktp-jaro/QgAxbbb
Argentina - Superliga,17:00,Deportivo Riestra,Gimnasia La Plata,https://redscores.com/pt-br/match/gimnasia-la-plata-deportivo-riestra/VDx94B
Argentina - Superliga,19:00,Huracán,Racing Club,https://redscores.com/pt-br/match/huracan-racing-club/o0xE8
Argentina - Superliga,19:15,San Martín San Juan,Vélez Sarsfield,https://redscores.com/pt-br/match/velez-sarsfield-san-martin-san-juan/lubxSvb
Argentina - Superliga,21:15,Lanús,Platense,https://redscores.com/pt-br/match/lanus-platense/6Tbxhub
China - Super League,08:35,Wuhan Three Towns,Henan Songshan Longmen,https://redscores.com/pt-br/match/henan-songshan-longmen-wuhan-three-towns/fibxMhbA
China - Super League,09:00,Yunnan Yukun,Dalian Zhixing,https://redscores.com/pt-br/match/dalian-zhixing-yunnan-yukun/TfFAxUfFA
Bolívia - Liga De Futbol Prof,20:00,Aurora,Real Tomayapo,https://redscores.com/pt-br/match/aurora-real-tomayapo/H5BxDTdA
Brasil - Serie B,19:00,Novorizontino,Athletic Club,https://redscores.com/pt-br/match/novorizontino-athletic-club/nVAxSebA
Colômbia - Liga BetPlay,20:00,Atlético Bucaramanga,Deportes Tolima,https://redscores.com/pt-br/match/atletico-bucaramanga-deportes-tolima/BGbxIWb
Colômbia - Liga BetPlay,22:10,América de Cali,Once Caldas,https://redscores.com/pt-br/match/once-caldas-america-de-cali/E7x7Ob
Irlanda - Premier Division,15:45,St Patrick's,Galway United,https://redscores.com/pt-br/match/galway-united-st-patrick-s/DCxuk
Irlanda - Premier Division,15:45,Cork City,Shamrock Rovers,https://redscores.com/pt-br/match/shamrock-rovers-cork-city/mBxKC
Irlanda - Premier Division,15:45,Derry City,Shelbourne,https://redscores.com/pt-br/match/shelbourne-derry-city/ggx9I
Irlanda - Premier Division,15:45,Sligo Rovers,Drogheda United,https://redscores.com/pt-br/match/sligo-rovers-drogheda-united/5hx3j
Irlanda - Premier Division,15:45,Bohemians,Waterford United,https://redscores.com/pt-br/match/bohemians-waterford-united/edxWl
Lituânia - A Lyga,13:30,Dainava,FA Šiauliai,https://redscores.com/pt-br/match/dainava-fa-siauliai/dmbx2wbA
Lituânia - A Lyga,13:30,Trakai,Žalgiris,https://redscores.com/pt-br/match/zalgiris-trakai/MixBvA
Paraguai - Division 1,16:30,General Caballero JLM,Sportivo Luqueño,https://redscores.com/pt-br/match/sportivo-luqueno-general-caballero-jlm/PpAxpdbA
Paraguai - Division 1,19:00,Olimpia,Sportivo Trinidense,https://redscores.com/pt-br/match/sportivo-trinidense-olimpia/Q7bx0Fc
Suécia - Superettan,14:00,Falkenberg,GIF Sundsvall,https://redscores.com/pt-br/match/falkenberg-gif-sundsvall/50xOob
Suécia - Superettan,14:00,Västerås SK,Oddevold,https://redscores.com/pt-br/match/vasteras-sk-oddevold/EkbxPlb
Suécia - Superettan,14:00,Östersunds FK,Umeå,https://redscores.com/pt-br/match/ostersunds-fk-umea/2MxMRA
Uruguai - Primera Division,20:00,Defensor Sporting,Danubio,https://redscores.com/pt-br/match/danubio-defensor-sporting/L5xmFb
Uruguai - Primera Division,20:00,Defensor Sporting,Danubio,https://redscores.com/pt-br/match/danubio-defensor-sporting/L5xmFb
Venezuela - Primera Division,21:30,Academia Anzoátegui,Carabobo,https://redscores.com/pt-br/match/carabobo-academia-anzoategui/1cbxDEEA
